sqft,bedrooms,bathrooms,age,distance_km,price_lakhs
3674,2,1,18,16.3,201.27
1360,1,2,22,9.2,83.09
1794,2,1,23,2.7,121.54
1630,1,1,11,10.8,92.23
1595,4,2,12,8.5,118.57
3592,4,2,21,17.3,213.98
2138,5,4,10,15.5,151.0
2669,2,1,4,9.8,160.42
966,5,3,28,6.2,93.56
1738,2,2,0,24.7,95.96
830,5,4,23,11.9,69.61
1982,3,3,2,17.5,132.41
2635,3,1,21,4.4,160.24
3944,3,4,18,12.7,243.44
3671,3,2,22,1.7,236.24
3419,1,3,28,13.1,195.27
630,3,2,29,24.1,37.99
2185,4,1,6,10.2,156.14
3880,4,3,11,1.9,259.05
1269,1,1,14,1.7,87.81
2891,3,1,24,10.3,180.21
2015,3,4,4,4.8,157.74
3985,3,2,14,1.6,259.0
3353,5,3,7,19.1,209.23
2933,2,1,9,12.0,166.04
1715,5,1,25,7.9,118.08
1455,2,3,15,22.6,86.92
2824,3,1,7,3.8,183.76
1684,3,4,0,23.9,108.41
959,5,4,11,8.5,97.45
3885,5,4,4,22.3,234.46
521,2,4,2,15.5,49.96
2800,4,1,0,20.8,175.13
1247,2,3,3,24.6,77.11
3404,5,3,7,7.9,231.4
974,5,3,2,24.1,84.84
1582,1,3,9,10.3,101.72
3058,5,2,1,10.3,201.66
2547,1,3,10,9.2,161.99
3247,4,2,24,14.0,202.04
1475,2,2,9,4.7,107.68
2306,2,4,20,14.3,140.87
689,1,2,13,14.0,43.4
3505,2,1,6,19.3,190.33
3234,5,2,26,21.0,197.33
3505,3,4,26,11.6,219.34
1062,1,2,1,8.3,68.99
2399,2,1,8,7.2,153.94
1767,1,1,15,5.7,110.37
3379,1,1,12,2.4,197.06
2028,3,4,8,9.2,136.77
3702,5,4,19,7.5,245.38
1146,1,3,3,24.2,61.8
2568,2,4,21,14.4,164.66
3388,4,1,9,9.3,216.84
2714,1,1,25,14.9,147.76
1797,1,4,25,4.3,120.79
2935,3,2,21,11.7,184.14
1100,5,4,11,16.0,97.63
2863,4,4,16,12.7,189.32
2561,2,1,13,10.6,147.53
741,4,3,13,24.9,68.48
2541,2,1,24,22.1,127.62
3324,5,3,1,16.0,214.66
3917,2,1,20,14.7,211.02
3112,3,4,24,15.9,190.67
3445,3,1,19,5.8,210.67
1863,3,1,10,10.5,124.69
2639,3,1,15,1.9,163.17
1890,4,4,18,12.4,138.43
3503,5,4,22,14.0,219.53
1978,2,4,5,6.5,138.24
3999,2,4,23,24.1,226.48
3056,3,3,18,22.8,176.83
1275,3,3,4,18.3,90.22
534,1,2,25,13.8,34.31
2753,5,4,3,21.9,182.58
3652,4,3,14,4.1,236.13
2455,2,1,28,20.0,128.49
2085,1,4,3,4.0,144.23
3959,1,2,19,20.1,209.05
3573,2,2,9,7.6,221.78
1521,4,2,23,22.1,93.38
3961,1,1,21,23.7,205.39
3113,1,3,2,4.6,201.86
1629,5,1,25,12.1,110.47
2000,4,4,4,24.5,129.09
1202,1,2,5,12.6,74.07
2949,4,1,20,21.7,170.37
3277,2,1,21,15.1,184.76
2079,3,3,7,10.0,138.21
661,1,3,6,7.9,54.59
701,5,2,20,5.9,69.68
2481,2,1,9,19.3,135.67
1495,4,1,5,10.3,99.72
2817,2,3,13,13.3,169.12
1315,1,1,3,12.8,71.25
3842,4,1,27,14.9,220.82
955,3,1,24,21.8,48.7
1775,2,3,12,24.5,105.18
1516,1,2,19,10.8,85.25
2843,5,4,16,20.9,177.58
3267,4,2,22,19.3,189.82
837,2,4,6,14.8,62.97
1378,2,1,3,23.9,82.26
1576,3,2,28,5.8,101.33
1291,3,4,13,3.6,105.09
2764,5,3,2,21.5,180.08
1263,5,3,23,11.5,103.87
2735,1,2,4,21.3,148.86
879,1,2,15,22.4,33.37
992,5,1,25,2.5,86.81
3612,5,2,22,22.2,219.48
1680,4,1,19,11.8,112.55
2562,3,1,3,13.3,159.93
564,1,3,23,16.0,28.3
3068,3,3,29,23.2,165.47
1867,3,4,23,1.5,137.28
1652,5,3,1,12.4,121.45
2527,4,3,29,17.5,157.79
3195,2,2,17,18.3,175.73
1995,4,3,18,17.6,128.78
3634,4,4,27,4.2,225.6
1662,3,2,27,8.2,107.3
2022,4,4,18,9.6,137.56
3140,1,3,16,20.3,161.33
891,3,4,13,7.7,82.77
2198,1,2,18,6.1,142.08
918,2,1,21,24.0,48.44
2836,3,4,23,1.2,194.25
878,2,4,12,24.9,51.54
2296,3,2,11,17.2,143.77
2778,5,2,29,20.9,171.73
3565,4,4,25,8.1,228.04
2588,5,3,5,1.3,185.86
3599,2,4,20,18.7,205.01
2682,4,2,3,21.0,173.62
700,3,1,18,18.8,43.37
2363,4,1,15,4.4,142.56
1279,1,3,12,19.1,66.28
3477,4,4,3,19.5,215.51
3604,1,1,29,16.8,195.64
3619,4,4,22,19.4,216.6
1002,1,2,16,21.3,55.92
2954,2,1,22,15.7,161.7
2251,5,3,0,3.1,163.26
1304,3,2,17,12.7,85.72
2646,4,3,19,2.9,183.67
3231,5,2,16,10.8,209.15
2395,3,1,26,10.8,137.09
3273,3,3,27,2.6,206.34
2070,1,3,26,9.4,136.59
1460,2,2,14,3.7,97.09
3160,2,3,10,20.4,185.12
1985,5,2,24,23.7,110.15
3190,2,2,27,2.7,198.73
1528,4,2,21,23.9,86.5
3789,2,2,12,13.5,222.41
1002,5,1,0,8.2,84.81
3314,2,2,16,2.8,206.96
897,4,4,5,13.0,78.19
1370,1,3,3,20.1,77.45
3342,5,4,19,18.0,213.32
892,1,1,15,2.2,62.27
706,1,4,14,2.7,66.39
1538,1,3,26,10.7,91.4
2381,3,4,14,8.1,161.47
3439,3,1,5,6.6,216.45
1984,1,2,14,7.7,120.03
1363,5,4,13,20.3,96.92
3290,4,1,27,23.3,180.03
3812,4,1,10,10.7,239.3
1063,2,3,6,22.7,65.91
1520,5,3,8,8.7,118.74
595,3,4,25,12.4,55.35
2423,1,2,15,6.4,149.43
2257,2,1,4,16.4,134.95
3032,4,4,24,24.5,173.87
3978,3,1,19,15.5,224.18
